Zeit;Kanal A
(ms);(V)

-5.00009085;0.98071480
-4.99998685;1.02731300
-4.99988285;0.98071480
-4.99977885;0.98071480
-4.99967485;1.02731300
-4.99957085;1.02731300
-4.99946685;1.02731300
-4.99936285;0.98071480
-4.99925885;1.02731300
-4.99915485;1.02731300
-4.99905085;1.02731300
-4.99894685;1.02731300
-4.99884285;1.02731300
-4.99873885;1.02731300
-4.99863485;0.98071480
-4.99853085;1.02731300
-4.99842685;1.02731300
-4.99832285;0.98071480
-4.99821885;1.02731300
-4.99811485;0.98071480
-4.99801085;1.02731300
-4.99790685;1.02731300
-4.99780285;1.02731300
-4.99769885;1.02731300
-4.99759485;1.02731300
-4.99749085;1.02731300
-4.99738685;0.98071480
-4.99728285;1.02731300
-4.99717885;0.98071480
-4.99707485;1.02731300
-4.99697085;1.02731300
-4.99686685;1.02731300
-4.99676285;1.02731300
-4.99665885;1.02731300
-4.99655485;1.02731300
-4.99645085;1.02731300
-4.99634685;0.98071480
-4.99624285;1.02731300
-4.99613885;1.02731300
-4.99603485;0.98071480
-4.99593085;1.02731300
-4.99582685;0.98071480
-4.99572285;1.02731300
-4.99561885;0.98071480
-4.99551485;1.02731300
-4.99541085;0.98071480
-4.99530685;1.02731300
-4.99520285;0.98071480
-4.99509885;1.02731300
-4.99499485;1.02731300
-4.99489085;0.98071480
-4.99478685;0.98071480
-4.99468285;1.02731300
-4.99457885;1.02731300
-4.99447485;1.02731300
-4.99437085;1.02731300
-4.99426685;1.02731300
-4.99416285;1.02731300
-4.99405885;1.02731300
-4.99395485;0.98071480
-4.99385085;1.02731300
-4.99374685;1.02731300
-4.99364285;1.02731300
-4.99353885;0.98071480
-4.99343485;1.02731300
-4.99333085;1.02731300
-4.99322685;1.02731300
-4.99312285;1.02731300
-4.99301885;0.98071480
-4.99291485;1.02731300
-4.99281085;1.02731300
-4.99270685;0.98071480
-4.99260285;1.02731300
-4.99249885;1.02731300
-4.99239485;1.02731300
-4.99229085;1.02731300
-4.99218685;0.98071480
-4.99208285;0.98071480
-4.99197885;1.02731300
-4.99187485;1.02731300
-4.99177085;1.02731300
-4.99166685;0.98071480
-4.99156285;1.02731300
-4.99145885;0.98071480
-4.99135485;1.02731300
-4.99125085;1.02731300
-4.99114685;1.02731300
-4.99104285;1.02731300
-4.99093885;0.98071480
-4.99083485;1.02731300
-4.99073085;1.02731300
-4.99062685;1.02731300
-4.99052285;1.02731300
-4.99041885;1.02731300
-4.99031485;1.02731300
-4.99021085;1.02731300
-4.99010685;1.02731300
-4.99000285;1.02731300
-4.98989885;1.02731300
-4.98979485;1.02731300
-4.98969085;1.02731300
-4.98958685;1.02731300
-4.98948285;0.98071480
-4.98937885;0.98071480
-4.98927485;1.02731300
-4.98917085;1.02731300
-4.98906685;1.02731300
-4.98896285;0.98071480
-4.98885885;1.02731300
-4.98875485;0.98071480
-4.98865085;1.02731300
-4.98854685;0.98071480
-4.98844285;1.02731300
-4.98833885;0.98071480
-4.98823485;1.02731300
-4.98813085;1.02731300
-4.98802685;1.02731300
-4.98792285;0.98071480
